Title,Director,Genres,Plot,Vote Average,Vote Count
Hostel,Eli Roth,Horror,"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",5.959,3578
The Descent,Neil Marshall,"Adventure, Horror","After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",7.0,3837
Austin Powers: The Spy Who Shagged Me,Jay Roach,"Adventure, Comedy, Crime, Science Fiction","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo,’ Austin must return to the swingin' '60s himself - with the help of American agent, Felicity Shagwell - to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions to try to save the world in his own unbelievably groovy way.",6.274,3284
Scoop,Philip Martin,Drama,"Inspired by real events, this fictional dramatization gives an insider account of how the women of Newsnight secured Prince Andrew's infamous interview.",6.352,162
Mad Max 2,George Miller,"Adventure, Action, Thriller, Science Fiction","Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.",7.394,3712
The Time Machine,Simon Wells,"Science Fiction, Adventure, Action","Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds mankind divided into two warring races.",6.258,2248
The Way We Were,Sydney Pollack,"Drama, Romance","Two desperate people have a wonderful romance, but their political views and convictions drive them apart.",6.937,449
One Day,Lone Scherfig,"Drama, Romance","A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",7.4,4221
Sumala,Rizal Mantovani,"Horror, Thriller","Unbeknownst to her husband Soedjiman, Sulastri made a pact with the devil so that she could have children. She gave birth to twins, Kumala, who survived, and Sumala, who died. Kumala grew up to be a kind child, but she was also physically and mentally disabled. She often received bad treatment from the people around her. One day, Sumala came from the world of the dead and made a reckoning with those who had hurt Kumala.",7.9,4
Face/Off,John Woo,"Action, Crime, Science Fiction","In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind. The plan turns sour when the criminal wakes up prematurely and seeks revenge.",7.0,5257
Dunkirk,Christopher Nolan,"War, Action, Drama","The story of the miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbour of Dunkirk between May 26th and June 4th 1940 during World War II.",7.5,16376
The Replacement Killers,Antoine Fuqua,"Action, Crime, Thriller","Hired assassin John Lee is asked by Chinatown crime boss Terence Wei to murder the young son of policeman Stan Zedkov. Lee has the boy in his sights, but his conscience gets the better of him, and he spares the child's life. Afraid that Wei will take revenge on his family in China, Lee seeks out expert forger Meg Coburn to obtain the passport he needs to get out of the country, but a band of replacement killers is soon on his trail.",6.239,506
Angels & Demons,Ron Howard,"Thriller, Mystery","Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati - a secret, underground organization - after four cardinals are kidnapped on the night of the papal conclave.",6.7,6741
Bee Movie,Steve Hickner,"Family, Animation, Adventure, Comedy","Barry B. Benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us.",6.024,4812
American Gangster,Ridley Scott,"Drama, Crime","Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Partly based on a true story.",7.587,5366
Thir13en Ghosts,Steve Beck,"Horror, Thriller","Arthur and his two children inherit his uncle's estate: a glass house that serves as a prison to twelve ghosts. When the family, accompanied by a nanny and an attorney, enter the house they find themselves trapped inside an evil machine 'designed by the Devil and powered by the dead' to open the Eye of Hell. Aided by a ghost hunter and his rival, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",6.242,2092
Barbie as The Princess & the Pauper,William Lau,"Animation, Family, Comedy","In her first animated musical featuring seven original songs, Barbie comes to life in this modern re-telling of a classic tale of mistaken identity and the power of friendship. Based on the story by Mark Twain.",7.5,1463
The Wingwalker,Alonso Alvarez,"Drama, Thriller","A young widower is deported as his daughter is scheduled for a heart transplant, this will lead him to orchestrate the boldest border crossing plan in history.",6.8,2
The Lover,Jean-Jacques Annaud,"Drama, Romance","A poor French teenage girl engages in an illicit affair with a wealthy Chinese heir in 1920s Saigon. For the first time in her young life she has control, and she wields it deftly over her besotted lover throughout a series of clandestine meetings and torrid encounters.",7.0,670
GoldenEye,Martin Campbell,"Adventure, Action, Thriller","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",6.9,3837
The Outfit,Graham Moore,"Crime, Drama, Thriller, Mystery","Leonard is an English tailor who used to craft suits on London’s world-famous Savile Row. After a personal tragedy, he’s ended up in Chicago, operating a small tailor shop in a rough part of town where he makes beautiful clothes for the only people around who can afford them: a family of vicious gangsters.",7.1,1092
The Stuff,Larry Cohen,"Horror, Science Fiction, Comedy","Amalgamated Dairies hires David Rutherford, an FBI man turned industrial saboteur, to investigate a popular new product called “the Stuff,” a new dessert product that is blowing ice cream sales out of the water. Nobody knows how it’s made or what’s in it, but people are lining up to buy it. It's got a delicious flavor to die for!",6.0,456
Secret Headquarters,Ariel Schulman,"Action, Adventure, Comedy, Science Fiction, Family","While hanging out after school, Charlie and his friends discover the headquarters of the world’s most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world.",6.5,353
The Princess Bride,Rob Reiner,"Adventure, Family, Fantasy, Comedy, Romance","In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.",7.7,4503
Hunger,Steve McQueen,"Drama, History","The story of Bobby Sands, the IRA member who led the 1981 hunger strike during The Troubles in which Irish Republican prisoners tried to win political status.",7.3,1101
